,type,id,tags,geometry
177,node,1391768039,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7447086 47.3883239)
178,node,1391768040,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7448364 47.3883919)
179,node,1395259982,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.52936 47.3861704)
180,node,1400175178,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.734971999999999 47.3865288)
181,node,1400175190,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7351014 47.3865685)
182,node,1400175291,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7345536 47.3873878)
183,node,1403172334,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6305702 47.3964341)
184,node,1407745416,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6454194 47.3947872)
185,node,1407745417,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.6454269 47.394857)
186,node,1413637962,"{'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'building'}",POINT (8.743452 47.3441018)
187,node,1413637973,"{'camera:mount': 'pole', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'building'}",POINT (8.743782 47.3443922)
188,node,1413637974,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7418846 47.3450898)
189,node,1413637975,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7424203 47.345285)
190,node,1413637976,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7422814 47.3453499)
191,node,1413761883,"{'camera:mount': 'pole', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera', 'surveillance:zone': 'parking'}",POINT (8.7433767 47.3448521)
192,node,1420532038,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7732409 47.3436372)
193,node,1421479885,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7501448 47.3889174)
194,node,1422592581,"{'man_made': 'surveillance', 'surveillance': 'outdoor'}",POINT (8.7526474 47.3875839)
195,node,1423373884,"{'camera:type': 'dome', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.8985378 47.5594583)
196,node,1423373892,"{'camera:mount': 'wall', 'camera:type': 'fixed', 'man_made': 'surveillance', 'surveillance': 'outdoor', 'surveillance:type': 'camera'}",POINT (8.8991234 47.5598467)
